result_id,search_id,airline,loyalty_program,cabin,miles_required,taxes_inr,cash_ticket_price_inr,availability
R0000001,S000002,Etihad Airways,Etihad Guest,Business,146450,11428,373818,Available
R0000002,S000002,Lufthansa,Miles & More,Business,131742,14979,274256,Available
R0000003,S000003,Etihad Airways,Etihad Guest,Business,69225,12553,148463,Available
R0000004,S000004,Singapore Airlines,KrisFlyer,Economy,41867,7412,133836,Available
R0000005,S000004,Qatar Airways,Privilege Club,Economy,49829,15686,172918,Available
R0000006,S000004,Air India,Flying Returns,Economy,55408,13395,185877,Available
R0000007,S000005,Emirates,Skywards,Business,61908,7146,122218,Available
R0000008,S000005,Singapore Airlines,KrisFlyer,Business,144297,15086,402568,Available
R0000009,S000006,Lufthansa,Miles & More,Economy,43270,5716,139294,Available
R0000010,S000006,United Airlines,MileagePlus,Economy,49290,14255,127268,Available
R0000011,S000007,Emirates,Skywards,First,117171,10991,287983,Available
R0000012,S000009,United Airlines,MileagePlus,First,184541,9410,418042,Available
R0000013,S000012,United Airlines,MileagePlus,Business,102932,17752,290120,Available
R0000014,S000012,Air India,Flying Returns,Business,104328,8042,191359,Available
R0000015,S000013,United Airlines,MileagePlus,Economy,39358,8973,123871,Available
R0000016,S000014,United Airlines,MileagePlus,Economy,44532,11021,151539,Available
R0000017,S000014,Air Canada,Aeroplan,Economy,36349,3500,117267,Available
R0000018,S000014,Lufthansa,Miles & More,Economy,32611,6128,94852,Available
R0000019,S000016,Air India,Flying Returns,Economy,51196,9189,116837,Available
R0000020,S000017,Qatar Airways,Privilege Club,First,160338,15825,492149,Available
R0000021,S000018,Singapore Airlines,KrisFlyer,Business,139382,9569,280830,Available
R0000022,S000018,Etihad Airways,Etihad Guest,Business,87554,3854,191124,Available
R0000023,S000019,Singapore Airlines,KrisFlyer,Economy,28544,7277,67424,Available
R0000024,S000019,Lufthansa,Miles & More,Economy,43376,4532,87530,Available
R0000025,S000021,Etihad Airways,Etihad Guest,Economy,42568,14153,88251,Available
R0000026,S000022,Emirates,Skywards,Business,81963,8070,261393,Available
R0000027,S000023,Lufthansa,Miles & More,Business,138349,3533,363804,Available
R0000028,S000025,Qatar Airways,Privilege Club,Economy,31022,6127,77716,Available
R0000029,S000025,Air India,Flying Returns,Economy,28643,9691,89074,Available
R0000030,S000026,Air Canada,Aeroplan,Economy,31143,15249,110435,Available
R0000031,S000027,Etihad Airways,Etihad Guest,First,147432,8559,301097,Available
R0000032,S000027,Air Canada,Aeroplan,First,214775,9613,483567,Available
R0000033,S000028,Etihad Airways,Etihad Guest,Economy,50575,10642,117113,Available
R0000034,S000029,Singapore Airlines,KrisFlyer,Economy,61499,16313,156937,Available
R0000035,S000029,Air India,Flying Returns,Economy,42921,11592,109627,Available
R0000036,S000031,Emirates,Skywards,Business,118862,14361,295311,Available
R0000037,S000031,Lufthansa,Miles & More,Business,79494,12934,162804,Available
R0000038,S000032,Air Canada,Aeroplan,Business,75202,16601,208908,Available
R0000039,S000035,Etihad Airways,Etihad Guest,Business,131152,6271,228351,Available
R0000040,S000035,United Airlines,MileagePlus,Business,91027,16091,297562,Available
R0000041,S000036,Air Canada,Aeroplan,Economy,31217,6549,105025,Available
R0000042,S000036,United Airlines,MileagePlus,Economy,32868,7389,87992,Available
R0000043,S000037,Singapore Airlines,KrisFlyer,Business,145376,13994,305471,Available
R0000044,S000037,Air Canada,Aeroplan,Business,112201,8143,250010,Available
R0000045,S000038,Air India,Flying Returns,Economy,37549,8745,103189,Available
R0000046,S000038,Qatar Airways,Privilege Club,Economy,62208,11110,182813,Available
R0000047,S000038,Lufthansa,Miles & More,Economy,59760,17368,139426,Available
R0000048,S000039,Emirates,Skywards,Economy,54230,13117,146261,Available
