attempt_id,click_id,user_id,result_id,search_id,attempt_date
BA000001,C001446,U0035,R0006597,S005704,2026-06-13
BA000002,C001435,U0476,R0002506,S002184,2026-03-02
BA000003,C001453,U0259,R0004171,S003587,2026-02-25
BA000004,C001631,U0358,R0000292,S000265,2026-01-12
BA000005,C002279,U0240,R0001396,S001200,2026-07-11
BA000006,C001935,U0479,R0001870,S001623,2026-02-06
BA000007,C002497,U0279,R0003813,S003292,2026-08-16
BA000008,C000299,U0492,R0004195,S003608,2026-08-24
BA000009,C002242,U0076,R0006904,S005993,2026-06-30
BA000010,C001798,U0498,R0002497,S002175,2026-03-30
BA000011,C000731,U0287,R0002695,S002343,2026-04-21
BA000012,C002465,U0359,R0001107,S000963,2026-01-04
BA000013,C001184,U0499,R0002146,S001872,2026-03-17
BA000014,C001736,U0327,R0002382,S002078,2026-06-30
BA000015,C001941,U0133,R0005265,S004566,2026-02-10
BA000016,C002432,U0160,R0001922,S001676,2026-07-03
BA000017,C000862,U0376,R0004507,S003877,2026-04-23
BA000018,C001809,U0357,R0006676,S005790,2026-06-18
BA000019,C001632,U0449,R0004430,S003822,2026-03-04
BA000020,C000467,U0217,R0001142,S000996,2026-05-09
BA000021,C000637,U0250,R0001793,S001551,2026-03-31
BA000022,C001405,U0245,R0002375,S002074,2026-06-09
BA000023,C000362,U0357,R0001950,S001706,2026-03-06
BA000024,C000530,U0365,R0002821,S002456,2026-04-22
BA000025,C001108,U0051,R0005850,S005076,2026-05-20
BA000026,C000076,U0002,R0006523,S005643,2026-03-30
BA000027,C000336,U0498,R0001956,S001709,2026-05-18
BA000028,C000909,U0281,R0003021,S002639,2026-03-07
BA000029,C000793,U0229,R0003903,S003366,2026-02-20
BA000030,C000625,U0069,R0002269,S001981,2026-07-09
BA000031,C002381,U0462,R0000290,S000261,2026-08-20
BA000032,C000049,U0169,R0000465,S000407,2026-03-23
BA000033,C001128,U0001,R0004145,S003567,2026-05-16
BA000034,C001117,U0304,R0001131,S000985,2026-07-01
BA000035,C001612,U0064,R0006190,S005362,2026-04-29
BA000036,C000204,U0398,R0001471,S001269,2026-04-08
BA000037,C001037,U0481,R0000642,S000569,2026-04-18
BA000038,C000112,U0424,R0003649,S003148,2026-05-24
BA000039,C002598,U0441,R0005714,S004954,2026-08-26
BA000040,C000054,U0327,R0000617,S000547,2026-08-13
