booking_id,user_id,result_id,search_id,booking_date,miles_used,taxes_paid_inr,status
B000001,U0476,R0002506,S002184,2026-03-04,114882,17271,Completed
B000002,U0358,R0000292,S000265,2026-01-12,59359,7907,Completed
B000003,U0479,R0001870,S001623,2026-02-09,203993,5164,Completed
B000004,U0279,R0003813,S003292,2026-08-19,139437,17989,Completed
B000005,U0492,R0004195,S003608,2026-08-24,29133,14658,Completed
B000006,U0287,R0002695,S002343,2026-04-21,33662,9299,Completed
B000007,U0359,R0001107,S000963,2026-01-06,52932,9794,Completed
B000008,U0133,R0005265,S004566,2026-02-13,62620,14577,Completed
B000009,U0449,R0004430,S003822,2026-03-07,41691,7658,Completed
B000010,U0217,R0001142,S000996,2026-05-09,37292,4955,Completed
B000011,U0365,R0002821,S002456,2026-04-25,98154,12608,Completed
B000012,U0051,R0005850,S005076,2026-05-23,62282,7089,Completed
B000013,U0498,R0001956,S001709,2026-05-20,128969,16513,Completed
B000014,U0229,R0003903,S003366,2026-02-23,194135,5905,Completed
B000015,U0069,R0002269,S001981,2026-07-11,41985,14834,Completed
B000016,U0169,R0000465,S000407,2026-03-26,56498,9877,Completed
B000017,U0001,R0004145,S003567,2026-05-19,131772,4145,Completed
B000018,U0064,R0006190,S005362,2026-05-02,123142,10807,Completed
B000019,U0398,R0001471,S001269,2026-04-08,39741,5192,Completed
B000020,U0481,R0000642,S000569,2026-04-21,167752,11108,Completed
B000021,U0424,R0003649,S003148,2026-05-27,48225,13745,Completed
B000022,U0441,R0005714,S004954,2026-08-27,138533,4896,Completed
B000023,U0327,R0000617,S000547,2026-08-14,88099,16571,Completed
B000024,U0450,R0000227,S000208,2026-08-11,128107,3732,Completed
B000025,U0074,R0003741,S003224,2026-06-05,122990,6352,Completed
B000026,U0244,R0000020,S000017,2026-01-12,160338,15825,Completed
B000027,U0058,R0004425,S003819,2026-03-07,47860,12057,Completed
B000028,U0362,R0004124,S003551,2026-06-21,194248,17311,Completed
B000029,U0139,R0005246,S004549,2026-04-30,62769,14428,Completed
B000030,U0465,R0001548,S001336,2026-07-17,52951,10125,Completed
B000031,U0067,R0004538,S003900,2026-05-20,48329,16056,Completed
B000032,U0158,R0000220,S000198,2026-03-11,50381,16695,Completed
B000033,U0040,R0006022,S005229,2026-03-31,65835,12162,Completed
B000034,U0392,R0002244,S001959,2026-08-27,132422,3512,Completed
B000035,U0467,R0001771,S001530,2026-07-27,104501,17162,Completed
B000036,U0125,R0006884,S005976,2026-07-26,96295,11334,Completed
B000037,U0052,R0005821,S005038,2026-04-17,71448,8911,Completed
B000038,U0134,R0006159,S005338,2026-02-11,37746,5579,Completed
B000039,U0203,R0001512,S001305,2026-07-01,64420,6875,Completed
B000040,U0084,R0005492,S004774,2026-01-05,48616,14978,Completed
B000041,U0086,R0004726,S004067,2026-03-18,50596,5464,Completed
B000042,U0288,R0003522,S003051,2026-03-17,39264,7931,Completed
B000043,U0077,R0004132,S003557,2026-05-10,39134,13087,Completed
B000044,U0169,R0001606,S001392,2026-01-09,125086,17187,Completed
B000045,U0099,R0000404,S000367,2026-03-12,149156,6936,Completed
B000046,U0299,R0001221,S001064,2026-04-22,69597,11049,Completed
B000047,U0411,R0006031,S005240,2026-04-26,66493,6246,Completed
B000048,U0288,R0001196,S001036,2026-06-28,56777,15974,Completed
B000049,U0127,R0004907,S004249,2026-07-20,85884,14981,Completed
B000050,U0320,R0006452,S005577,2026-03-28,64709,14845,Completed
B000051,U0334,R0006557,S005671,2026-02-04,33127,7130,Completed
B000052,U0462,R0000550,S000477,2026-04-08,92947,6186,Completed
B000053,U0375,R0002435,S002121,2026-08-03,31317,11992,Completed
