click_id,result_id,search_id,user_id,click_date
C000001,R0006057,S005257,U0143,2026-05-28
C000002,R0000638,S000563,U0275,2026-06-02
C000003,R0001931,S001682,U0352,2026-02-27
C000004,R0004415,S003809,U0301,2026-03-03
C000005,R0004657,S004006,U0322,2026-07-21
C000006,R0002811,S002436,U0335,2026-04-05
C000007,R0003669,S003167,U0302,2026-06-16
C000008,R0001482,S001279,U0122,2026-02-28
C000009,R0003761,S003243,U0479,2026-01-07
C000010,R0004448,S003835,U0232,2026-05-24
C000011,R0004169,S003586,U0134,2026-03-09
C000012,R0005691,S004937,U0251,2026-03-25
C000013,R0000017,S000014,U0304,2026-03-24
C000014,R0006848,S005947,U0450,2026-02-05
C000015,R0005556,S004820,U0089,2026-08-22
C000016,R0001904,S001661,U0170,2026-05-14
C000017,R0002100,S001834,U0078,2026-05-17
C000018,R0005741,S004976,U0060,2026-08-07
C000019,R0004751,S004101,U0185,2026-02-17
C000020,R0004736,S004079,U0161,2026-03-18
C000021,R0005078,S004394,U0232,2026-08-24
C000022,R0001293,S001117,U0360,2026-05-01
C000023,R0006322,S005471,U0441,2026-03-09
C000024,R0001702,S001465,U0036,2026-02-28
C000025,R0005042,S004366,U0473,2026-07-17
C000026,R0000840,S000736,U0079,2026-06-14
C000027,R0001941,S001698,U0351,2026-07-03
C000028,R0002788,S002417,U0189,2026-01-01
C000029,R0001825,S001585,U0337,2026-07-15
C000030,R0006189,S005361,U0174,2026-06-17
C000031,R0005346,S004642,U0321,2026-07-28
C000032,R0003190,S002784,U0416,2026-07-02
C000033,R0005724,S004961,U0145,2026-01-24
C000034,R0006324,S005473,U0079,2026-02-13
C000035,R0005968,S005175,U0156,2026-03-05
C000036,R0001265,S001096,U0249,2026-03-20
C000037,R0001045,S000907,U0357,2026-06-11
C000038,R0003270,S002836,U0392,2026-07-18
C000039,R0004894,S004240,U0138,2026-08-05
C000040,R0003640,S003140,U0258,2026-07-14
C000041,R0005661,S004917,U0043,2026-01-06
C000042,R0000547,S000475,U0336,2026-08-11
C000043,R0004296,S003702,U0434,2026-04-25
C000044,R0006144,S005328,U0201,2026-04-11
C000045,R0004301,S003708,U0161,2026-02-11
C000046,R0004018,S003461,U0155,2026-05-21
C000047,R0004492,S003866,U0246,2026-03-30
C000048,R0005942,S005149,U0110,2026-05-24
C000049,R0000465,S000407,U0169,2026-03-23
C000050,R0002287,S001996,U0162,2026-06-13
C000051,R0004529,S003889,U0129,2026-08-14
C000052,R0006202,S005375,U0426,2026-08-22
C000053,R0005899,S005116,U0216,2026-07-17
C000054,R0000617,S000547,U0327,2026-08-13
C000055,R0000003,S000003,U0473,2026-04-20
C000056,R0006180,S005356,U0347,2026-04-13
C000057,R0001938,S001693,U0424,2026-03-04
C000058,R0003230,S002808,U0138,2026-05-31
C000059,R0005918,S005131,U0189,2026-05-25
C000060,R0005694,S004938,U0051,2026-07-28
C000061,R0002712,S002359,U0343,2026-01-05
C000062,R0000459,S000403,U0500,2026-04-27
C000063,R0005444,S004734,U0216,2026-01-24
C000064,R0000052,S000042,U0253,2026-05-01
C000065,R0000741,S000654,U0030,2026-02-04
C000066,R0005597,S004854,U0388,2026-08-07
C000067,R0001082,S000944,U0081,2026-06-10
C000068,R0006756,S005862,U0431,2026-08-13
C000069,R0003685,S003182,U0100,2026-03-24
C000070,R0006184,S005357,U0308,2026-02-13
C000071,R0000882,S000777,U0355,2026-05-25
C000072,R0003436,S002983,U0450,2026-02-17
C000073,R0004241,S003646,U0311,2026-08-23
C000074,R0004972,S004303,U0051,2026-08-20
C000075,R0005300,S004594,U0173,2026-02-27
C000076,R0006523,S005643,U0002,2026-03-30
C000077,R0001419,S001218,U0281,2026-05-27
C000078,R0000962,S000844,U0167,2026-08-02
C000079,R0000709,S000629,U0063,2026-04-28
C000080,R0005699,S004943,U0384,2026-07-12
C000081,R0001335,S001149,U0143,2026-04-14
C000082,R0004478,S003857,U0131,2026-04-21
C000083,R0005023,S004354,U0299,2026-07-12
C000084,R0006851,S005949,U0009,2026-06-18
C000085,R0001813,S001574,U0328,2026-05-21
C000086,R0001988,S001730,U0339,2026-07-03
C000087,R0006508,S005628,U0028,2026-02-20
C000088,R0006694,S005807,U0184,2026-07-10
C000089,R0003969,S003420,U0332,2026-05-06
C000090,R0005948,S005157,U0214,2026-06-19
C000091,R0001740,S001499,U0443,2026-01-21
C000092,R0003642,S003143,U0196,2026-02-23
C000093,R0003987,S003433,U0014,2026-05-26
C000094,R0000063,S000050,U0263,2026-05-16
C000095,R0004533,S003892,U0388,2026-06-30
C000096,R0000913,S000805,U0393,2026-04-22
C000097,R0003147,S002745,U0116,2026-08-22
C000098,R0000262,S000236,U0346,2026-01-17
C000099,R0005382,S004680,U0224,2026-03-26
C000100,R0003764,S003244,U0128,2026-03-13
C000101,R0002858,S002494,U0017,2026-08-20
C000102,R0004838,S004179,U0019,2026-04-16
C000103,R0006305,S005461,U0310,2026-06-04
C000104,R0000663,S000594,U0003,2026-03-08
C000105,R0001311,S001132,U0326,2026-07-16
C000106,R0003925,S003382,U0358,2026-04-25
C000107,R0000869,S000764,U0071,2026-08-14
C000108,R0003259,S002829,U0294,2026-02-21
C000109,R0002266,S001975,U0261,2026-01-18
C000110,R0005938,S005146,U0023,2026-01-06
C000111,R0005830,S005052,U0310,2026-04-25
C000112,R0003649,S003148,U0424,2026-05-24
C000113,R0002867,S002501,U0134,2026-01-08
C000114,R0005446,S004737,U0086,2026-05-11
C000115,R0004871,S004213,U0255,2026-04-04
C000116,R0005186,S004489,U0323,2026-07-30
C000117,R0002830,S002466,U0032,2026-08-12
C000118,R0003143,S002743,U0369,2026-02-15
C000119,R0005545,S004814,U0308,2026-07-10
C000120,R0002354,S002051,U0067,2026-03-24
C000121,R0001682,S001448,U0445,2026-08-08
C000122,R0006151,S005334,U0479,2026-02-22
C000123,R0001088,S000947,U0043,2026-08-21
C000124,R0001279,S001106,U0401,2026-08-01
C000125,R0003651,S003149,U0471,2026-06-05
C000126,R0000841,S000739,U0278,2026-04-19
C000127,R0001703,S001466,U0416,2026-02-15
C000128,R0005036,S004362,U0057,2026-08-07
C000129,R0002582,S002249,U0360,2026-03-13
C000130,R0005869,S005090,U0453,2026-08-08
C000131,R0000116,S000101,U0281,2026-03-26
C000132,R0004907,S004249,U0127,2026-07-19
C000133,R0006665,S005774,U0368,2026-01-23
C000134,R0005220,S004521,U0446,2026-04-26
C000135,R0005577,S004838,U0454,2026-07-16
C000136,R0006411,S005540,U0359,2026-06-23
C000137,R0005157,S004460,U0153,2026-02-06
C000138,R0002159,S001888,U0453,2026-04-25
C000139,R0000090,S000076,U0233,2026-01-10
C000140,R0005062,S004381,U0455,2026-01-10
C000141,R0005297,S004593,U0360,2026-08-13
C000142,R0001731,S001492,U0212,2026-04-07
C000143,R0003100,S002713,U0446,2026-07-17
C000144,R0000717,S000635,U0065,2026-01-10
C000145,R0005000,S004327,U0315,2026-05-14
C000146,R0005962,S005170,U0095,2026-05-12
C000147,R0004289,S003694,U0040,2026-07-30
C000148,R0006010,S005213,U0358,2026-03-08
C000149,R0001660,S001429,U0002,2026-01-26
C000150,R0001553,S001343,U0387,2026-06-11
C000151,R0004115,S003542,U0389,2026-01-12
C000152,R0004212,S003624,U0387,2026-05-04
C000153,R0001083,S000946,U0199,2026-02-22
C000154,R0002525,S002204,U0447,2026-08-23
C000155,R0004581,S003932,U0237,2026-06-21
C000156,R0003128,S002733,U0292,2026-01-29
C000157,R0000097,S000079,U0434,2026-02-25
C000158,R0005758,S004987,U0006,2026-04-03
C000159,R0006739,S005845,U0318,2026-03-23
C000160,R0006528,S005648,U0308,2026-03-14
C000161,R0002842,S002477,U0028,2026-04-13
C000162,R0000315,S000281,U0141,2026-06-28
C000163,R0001920,S001675,U0335,2026-04-15
C000164,R0002337,S002039,U0195,2026-06-13
C000165,R0002008,S001761,U0253,2026-05-06
C000166,R0003633,S003133,U0195,2026-06-02
C000167,R0000093,S000077,U0369,2026-02-26
C000168,R0000392,S000356,U0092,2026-02-13
C000169,R0004386,S003784,U0099,2026-06-01
C000170,R0000730,S000648,U0027,2026-08-25
C000171,R0003745,S003228,U0335,2026-03-27
C000172,R0001414,S001217,U0395,2026-06-02
C000173,R0001970,S001717,U0288,2026-06-13
C000174,R0000511,S000444,U0386,2026-01-21
C000175,R0004434,S003824,U0069,2026-02-05
C000176,R0004306,S003712,U0053,2026-04-21
C000177,R0003480,S003019,U0333,2026-02-24
C000178,R0000865,S000762,U0161,2026-07-06
C000179,R0002453,S002138,U0288,2026-07-08
C000180,R0001883,S001640,U0172,2026-01-22
C000181,R0005304,S004599,U0183,2026-06-01
C000182,R0001590,S001380,U0236,2026-06-15
C000183,R0004021,S003464,U0068,2026-01-29
C000184,R0001584,S001370,U0446,2026-05-15
C000185,R0006129,S005316,U0090,2026-02-11
C000186,R0005242,S004545,U0379,2026-06-02
C000187,R0003491,S003027,U0447,2026-06-16
C000188,R0006123,S005309,U0300,2026-05-08
C000189,R0000366,S000329,U0374,2026-04-07
C000190,R0005054,S004373,U0010,2026-08-03
C000191,R0001822,S001582,U0211,2026-05-21
C000192,R0001597,S001385,U0338,2026-07-14
C000193,R0001158,S001016,U0488,2026-02-03
C000194,R0000065,S000051,U0322,2026-02-17
C000195,R0005667,S004921,U0219,2026-07-25
C000196,R0000141,S000127,U0280,2026-02-19
C000197,R0001984,S001728,U0290,2026-08-10
C000198,R0001842,S001600,U0153,2026-05-04
C000199,R0004196,S003608,U0492,2026-08-24
C000200,R0002517,S002199,U0146,2026-06-16
C000201,R0000294,S000265,U0358,2026-01-12
C000202,R0003910,S003371,U0108,2026-03-09
C000203,R0004075,S003503,U0283,2026-06-11
C000204,R0001471,S001269,U0398,2026-04-08
C000205,R0002759,S002396,U0263,2026-01-30
C000206,R0000965,S000846,U0264,2026-06-24
C000207,R0005991,S005195,U0391,2026-04-06
C000208,R0002744,S002385,U0410,2026-07-10
C000209,R0002877,S002509,U0335,2026-06-07
C000210,R0003069,S002678,U0185,2026-04-20
C000211,R0002133,S001862,U0030,2026-06-21
C000212,R0001681,S001447,U0100,2026-03-08
C000213,R0001884,S001642,U0065,2026-07-25
C000214,R0001633,S001411,U0013,2026-08-15
C000215,R0004668,S004016,U0361,2026-05-11
C000216,R0003384,S002933,U0272,2026-07-01
C000217,R0000872,S000768,U0401,2026-04-11
C000218,R0006816,S005918,U0006,2026-01-22
C000219,R0005319,S004619,U0201,2026-04-26
C000220,R0004876,S004216,U0417,2026-04-03
C000221,R0001619,S001400,U0005,2026-05-31
C000222,R0005230,S004532,U0495,2026-02-20
C000223,R0004675,S004023,U0423,2026-03-16
C000224,R0001257,S001090,U0300,2026-03-29
C000225,R0001501,S001298,U0014,2026-03-21
C000226,R0004539,S003900,U0067,2026-05-17
C000227,R0005930,S005141,U0006,2026-03-27
C000228,R0003814,S003292,U0279,2026-08-16
C000229,R0006301,S005457,U0418,2026-01-12
C000230,R0001727,S001488,U0446,2026-04-21
C000231,R0000170,S000148,U0481,2026-01-06
C000232,R0000758,S000666,U0294,2026-02-02
C000233,R0004076,S003505,U0246,2026-02-04
C000234,R0005161,S004465,U0095,2026-08-08
C000235,R0002456,S002140,U0058,2026-07-28
C000236,R0002880,S002511,U0205,2026-04-09
C000237,R0000312,S000279,U0316,2026-02-07
C000238,R0005760,S004989,U0381,2026-06-25
C000239,R0005879,S005100,U0199,2026-08-24
C000240,R0005301,S004596,U0212,2026-02-23
C000241,R0005790,S005020,U0285,2026-04-12
C000242,R0006062,S005262,U0328,2026-07-05
C000243,R0001321,S001138,U0240,2026-04-14
C000244,R0005015,S004345,U0204,2026-05-31
C000245,R0001020,S000881,U0306,2026-05-24
C000246,R0000660,S000590,U0369,2026-07-07
C000247,R0006767,S005872,U0326,2026-02-10
C000248,R0003613,S003122,U0286,2026-01-21
C000249,R0000482,S000419,U0241,2026-06-25
C000250,R0006412,S005540,U0359,2026-06-23
C000251,R0003418,S002968,U0098,2026-04-22
C000252,R0003992,S003438,U0466,2026-05-31
C000253,R0002564,S002234,U0317,2026-01-27
C000254,R0000707,S000628,U0177,2026-05-28
C000255,R0002967,S002589,U0244,2026-08-02
C000256,R0003273,S002838,U0296,2026-08-26
C000257,R0006278,S005441,U0477,2026-06-03
C000258,R0000240,S000218,U0263,2026-01-15
C000259,R0003338,S002890,U0307,2026-05-14
C000260,R0000478,S000418,U0443,2026-03-08
C000261,R0005993,S005197,U0159,2026-03-02
C000262,R0005228,S004529,U0016,2026-07-18
C000263,R0004794,S004138,U0084,2026-07-04
C000264,R0001505,S001302,U0261,2026-06-04
C000265,R0001407,S001208,U0012,2026-07-16
C000266,R0002601,S002260,U0268,2026-06-06
C000267,R0006222,S005388,U0236,2026-03-28
C000268,R0004354,S003759,U0414,2026-03-25
C000269,R0003771,S003250,U0180,2026-01-28
C000270,R0003608,S003117,U0289,2026-05-15
C000271,R0004300,S003706,U0092,2026-05-02
C000272,R0005136,S004442,U0133,2026-08-15
C000273,R0006270,S005433,U0003,2026-05-29
C000274,R0003696,S003190,U0087,2026-04-30
C000275,R0003457,S002998,U0181,2026-08-19
C000276,R0000305,S000272,U0416,2026-04-29
C000277,R0005525,S004799,U0277,2026-05-24
C000278,R0002974,S002593,U0487,2026-05-29
C000279,R0003194,S002786,U0086,2026-08-27
C000280,R0004844,S004185,U0221,2026-03-13
C000281,R0002698,S002346,U0309,2026-01-11
C000282,R0006488,S005611,U0374,2026-06-05
C000283,R0001117,S000975,U0146,2026-02-01
C000284,R0003186,S002781,U0485,2026-04-21
C000285,R0001340,S001154,U0300,2026-04-17
C000286,R0004587,S003937,U0360,2026-02-07
C000287,R0000227,S000208,U0450,2026-08-09
C000288,R0006125,S005312,U0025,2026-02-07
C000289,R0001290,S001116,U0430,2026-03-15
C000290,R0005322,S004620,U0405,2026-03-02
C000291,R0004589,S003939,U0247,2026-04-18
C000292,R0003448,S002992,U0476,2026-04-25
C000293,R0002914,S002543,U0151,2026-07-27
C000294,R0005368,S004665,U0157,2026-01-02
C000295,R0003272,S002838,U0296,2026-08-26
C000296,R0002055,S001800,U0289,2026-04-17
C000297,R0006452,S005577,U0320,2026-03-28
C000298,R0004246,S003651,U0484,2026-07-24
C000299,R0004195,S003608,U0492,2026-08-24
C000300,R0005629,S004887,U0115,2026-01-31
C000301,R0004111,S003536,U0409,2026-02-17
C000302,R0004290,S003698,U0391,2026-04-06
C000303,R0006141,S005324,U0137,2026-02-02
C000304,R0005498,S004777,U0236,2026-01-02
C000305,R0001156,S001013,U0227,2026-05-22
C000306,R0005219,S004521,U0446,2026-04-26
C000307,R0000737,S000651,U0203,2026-05-11
C000308,R0001887,S001645,U0109,2026-03-13
C000309,R0003800,S003277,U0279,2026-03-08
C000310,R0003870,S003338,U0263,2026-08-19
C000311,R0001157,S001014,U0433,2026-04-24
C000312,R0003149,S002749,U0402,2026-04-04
C000313,R0005165,S004470,U0132,2026-02-11
C000314,R0006132,S005317,U0320,2026-06-13
C000315,R0006272,S005434,U0430,2026-04-06
C000316,R0001701,S001465,U0036,2026-02-28
C000317,R0000334,S000294,U0084,2026-01-02
C000318,R0004395,S003789,U0083,2026-08-11
C000319,R0006545,S005664,U0093,2026-06-30
C000320,R0002932,S002561,U0385,2026-02-09
C000321,R0002831,S002466,U0032,2026-08-12
C000322,R0004381,S003781,U0103,2026-07-01
C000323,R0000031,S000027,U0099,2026-03-29
C000324,R0005534,S004807,U0410,2026-04-21
C000325,R0002936,S002563,U0363,2026-08-21
C000326,R0001458,S001259,U0003,2026-01-14
C000327,R0001208,S001048,U0290,2026-01-04
C000328,R0000650,S000579,U0186,2026-06-15
C000329,R0005120,S004430,U0020,2026-04-01
C000330,R0003988,S003434,U0428,2026-04-21
C000331,R0005121,S004430,U0020,2026-04-01
C000332,R0000935,S000820,U0432,2026-07-06
C000333,R0005378,S004675,U0421,2026-01-15
C000334,R0006045,S005250,U0299,2026-03-30
C000335,R0000349,S000308,U0016,2026-08-07
C000336,R0001956,S001709,U0498,2026-05-18
C000337,R0006634,S005737,U0337,2026-02-04
C000338,R0004771,S004121,U0371,2026-01-06
