account_id,user_id,program,points_balance,account_type
A00001,U0238,Flying Blue,166945,Airline Loyalty
A00002,U0381,Axis EDGE,133389,Airline Loyalty
A00003,U0436,HSBC Rewards,30372,Airline Loyalty
A00004,U0387,Aeroplan,8642,Credit Card
A00005,U0483,Axis EDGE,164073,Credit Card
A00006,U0425,Etihad Guest,39064,Credit Card
A00007,U0390,Amex Membership Rewards,19122,Airline Loyalty
A00008,U0025,Amex Membership Rewards,160892,Credit Card
A00009,U0141,Axis EDGE,73431,Airline Loyalty
A00010,U0117,Flying Blue,60745,Credit Card
A00011,U0482,Aeroplan,55081,Airline Loyalty
A00012,U0392,HDFC Rewards,144783,Airline Loyalty
A00013,U0405,HDFC Rewards,154865,Airline Loyalty
A00014,U0482,Etihad Guest,144271,Airline Loyalty
A00015,U0452,Flying Blue,81253,Airline Loyalty
A00016,U0025,ICICI Rewards,41191,Airline Loyalty
A00017,U0079,ICICI Rewards,15211,Airline Loyalty
A00018,U0068,HSBC Rewards,116086,Airline Loyalty
A00019,U0173,Aeroplan,157614,Airline Loyalty
A00020,U0444,Aeroplan,167384,Credit Card
A00021,U0012,Amex Membership Rewards,106971,Credit Card
A00022,U0288,United MileagePlus,98783,Credit Card
A00023,U0128,Etihad Guest,130681,Credit Card
A00024,U0096,HDFC Rewards,92893,Credit Card
A00025,U0092,Etihad Guest,163763,Airline Loyalty
A00026,U0141,ICICI Rewards,82960,Airline Loyalty
A00027,U0031,ICICI Rewards,89388,Airline Loyalty
A00028,U0334,Axis EDGE,27601,Credit Card
A00029,U0020,HSBC Rewards,154092,Credit Card
A00030,U0146,Aeroplan,144227,Credit Card
A00031,U0477,Etihad Guest,172849,Credit Card
A00032,U0316,ICICI Rewards,24710,Credit Card
A00033,U0447,United MileagePlus,113714,Credit Card
A00034,U0390,Amex Membership Rewards,160604,Airline Loyalty
A00035,U0160,HDFC Rewards,133727,Airline Loyalty
A00036,U0349,HSBC Rewards,154673,Credit Card
A00037,U0043,United MileagePlus,68227,Credit Card
A00038,U0254,HSBC Rewards,141039,Credit Card
A00039,U0130,Axis EDGE,89289,Credit Card
A00040,U0060,ICICI Rewards,156094,Airline Loyalty
A00041,U0151,Amex Membership Rewards,179535,Credit Card
A00042,U0467,United MileagePlus,10722,Credit Card
A00043,U0287,HSBC Rewards,163485,Credit Card
A00044,U0499,Aeroplan,86050,Credit Card
A00045,U0005,Axis EDGE,88596,Airline Loyalty
A00046,U0467,Aeroplan,71732,Airline Loyalty
A00047,U0418,Amex Membership Rewards,148369,Airline Loyalty
A00048,U0266,United MileagePlus,73323,Credit Card
A00049,U0345,Axis EDGE,28816,Credit Card
A00050,U0130,United MileagePlus,45695,Credit Card
A00051,U0382,ICICI Rewards,155774,Airline Loyalty
A00052,U0267,Flying Blue,161314,Credit Card
A00053,U0178,Axis EDGE,60841,Credit Card
A00054,U0253,Aeroplan,133498,Credit Card
A00055,U0415,Amex Membership Rewards,112096,Airline Loyalty
A00056,U0056,ICICI Rewards,97764,Credit Card
A00057,U0463,Flying Blue,90744,Credit Card
A00058,U0457,HDFC Rewards,33482,Credit Card
A00059,U0471,ICICI Rewards,14171,Airline Loyalty
A00060,U0083,Amex Membership Rewards,105755,Credit Card
A00061,U0393,HSBC Rewards,113125,Airline Loyalty
A00062,U0099,Axis EDGE,135722,Credit Card
A00063,U0149,United MileagePlus,111082,Airline Loyalty
A00064,U0329,Amex Membership Rewards,8696,Airline Loyalty
A00065,U0156,Axis EDGE,131310,Credit Card
A00066,U0190,United MileagePlus,156130,Airline Loyalty
A00067,U0494,Etihad Guest,156385,Credit Card
A00068,U0371,Aeroplan,24149,Airline Loyalty
A00069,U0263,HDFC Rewards,135064,Airline Loyalty
A00070,U0080,ICICI Rewards,58521,Credit Card
A00071,U0400,Amex Membership Rewards,50740,Airline Loyalty
A00072,U0252,HDFC Rewards,111611,Airline Loyalty
A00073,U0097,HSBC Rewards,141028,Credit Card
A00074,U0260,Axis EDGE,71641,Credit Card
A00075,U0260,Axis EDGE,68811,Airline Loyalty
A00076,U0103,Amex Membership Rewards,68232,Airline Loyalty
A00077,U0040,Flying Blue,20417,Credit Card
A00078,U0273,Flying Blue,160801,Credit Card
A00079,U0101,Etihad Guest,117492,Credit Card
A00080,U0359,Aeroplan,35099,Credit Card
A00081,U0380,United MileagePlus,166033,Credit Card
A00082,U0308,HSBC Rewards,148674,Airline Loyalty
A00083,U0221,HDFC Rewards,123474,Credit Card
A00084,U0308,Flying Blue,14256,Airline Loyalty
A00085,U0420,Etihad Guest,39681,Credit Card
A00086,U0124,Etihad Guest,96328,Credit Card
A00087,U0422,Amex Membership Rewards,48361,Credit Card
A00088,U0231,HSBC Rewards,39540,Credit Card
A00089,U0178,United MileagePlus,162608,Airline Loyalty
A00090,U0063,Aeroplan,89700,Airline Loyalty
A00091,U0485,ICICI Rewards,83532,Airline Loyalty
A00092,U0116,Amex Membership Rewards,132626,Airline Loyalty
A00093,U0191,United MileagePlus,138943,Airline Loyalty
A00094,U0062,ICICI Rewards,51002,Credit Card
A00095,U0256,ICICI Rewards,54812,Airline Loyalty
A00096,U0483,HSBC Rewards,158698,Airline Loyalty
A00097,U0007,HSBC Rewards,113946,Credit Card
A00098,U0155,HDFC Rewards,71668,Airline Loyalty
A00099,U0092,Etihad Guest,104003,Credit Card
A00100,U0470,United MileagePlus,47998,Credit Card
A00101,U0014,Amex Membership Rewards,109601,Airline Loyalty
A00102,U0455,Axis EDGE,12812,Credit Card
A00103,U0229,Amex Membership Rewards,66844,Credit Card
A00104,U0086,HDFC Rewards,138251,Airline Loyalty
A00105,U0133,Aeroplan,179870,Credit Card
A00106,U0183,Etihad Guest,79601,Credit Card
A00107,U0386,Axis EDGE,144347,Airline Loyalty
A00108,U0062,Flying Blue,52857,Credit Card
A00109,U0219,Aeroplan,130555,Credit Card
A00110,U0405,HSBC Rewards,25700,Airline Loyalty
A00111,U0246,ICICI Rewards,175536,Airline Loyalty
A00112,U0230,Flying Blue,178423,Credit Card
A00113,U0079,Amex Membership Rewards,98330,Airline Loyalty
A00114,U0149,Amex Membership Rewards,149941,Airline Loyalty
A00115,U0138,HSBC Rewards,157026,Credit Card
A00116,U0471,HDFC Rewards,167627,Credit Card
A00117,U0314,United MileagePlus,68353,Credit Card
A00118,U0376,Flying Blue,105772,Airline Loyalty
A00119,U0423,Flying Blue,96502,Credit Card
A00120,U0389,Aeroplan,118943,Credit Card
A00121,U0065,Etihad Guest,114850,Airline Loyalty
A00122,U0013,Aeroplan,50095,Airline Loyalty
A00123,U0213,United MileagePlus,150342,Credit Card
A00124,U0474,Amex Membership Rewards,166980,Credit Card
A00125,U0242,Amex Membership Rewards,20523,Credit Card
A00126,U0493,Amex Membership Rewards,67433,Credit Card
A00127,U0213,Amex Membership Rewards,24991,Airline Loyalty
A00128,U0181,United MileagePlus,15775,Airline Loyalty
A00129,U0338,HSBC Rewards,89995,Credit Card
A00130,U0485,Etihad Guest,152745,Credit Card
A00131,U0173,United MileagePlus,127808,Airline Loyalty
A00132,U0160,Etihad Guest,163128,Credit Card
A00133,U0164,United MileagePlus,142686,Credit Card
A00134,U0465,Amex Membership Rewards,12415,Credit Card
A00135,U0483,HSBC Rewards,179956,Credit Card
A00136,U0497,Flying Blue,153036,Airline Loyalty
A00137,U0188,Aeroplan,173798,Credit Card
A00138,U0395,ICICI Rewards,42044,Credit Card
A00139,U0191,HSBC Rewards,173616,Credit Card
A00140,U0405,Flying Blue,54976,Airline Loyalty
A00141,U0308,HDFC Rewards,168324,Credit Card
A00142,U0256,United MileagePlus,8832,Credit Card
A00143,U0183,HDFC Rewards,39148,Credit Card
A00144,U0117,Flying Blue,117230,Credit Card
