search_id,user_id,origin,destination,search_date,travel_date,cabin,device
S000001,U0320,Delhi,Dubai,2026-01-09,2026-03-08,Economy,Mobile
S000002,U0095,Delhi,New York,2026-01-08,2026-06-03,Business,Desktop
S000003,U0473,Mumbai,Dubai,2026-04-20,2026-05-15,Business,Desktop
S000004,U0361,Mumbai,Paris,2026-05-27,2026-08-16,Economy,Mobile
S000005,U0013,Delhi,Singapore,2026-02-20,2026-07-06,Business,Mobile
S000006,U0146,Hyderabad,Dubai,2026-07-19,2026-09-18,Economy,Desktop
S000007,U0405,Delhi,London,2026-08-14,2026-09-04,First,Mobile
S000008,U0368,Mumbai,Paris,2026-07-04,2026-10-18,First,Desktop
S000009,U0065,Bengaluru,London,2026-07-15,2026-09-28,First,Mobile
S000010,U0228,Delhi,Paris,2026-01-31,2026-06-29,Business,Desktop
S000011,U0242,Mumbai,Dubai,2026-04-12,2026-05-31,Economy,Desktop
S000012,U0008,Mumbai,Singapore,2026-01-03,2026-01-26,Business,Mobile
S000013,U0500,Mumbai,Paris,2026-04-09,2026-07-22,Economy,Mobile
S000014,U0304,Mumbai,Dubai,2026-03-24,2026-07-24,Economy,Mobile
S000015,U0341,Mumbai,Dubai,2026-02-12,2026-07-20,Business,Mobile
S000016,U0043,Delhi,New York,2026-01-29,2026-04-19,Economy,Mobile
S000017,U0244,Mumbai,Singapore,2026-01-10,2026-05-12,First,Desktop
S000018,U0181,Mumbai,Dubai,2026-05-20,2026-06-25,Business,Mobile
S000019,U0085,Mumbai,Dubai,2026-02-15,2026-04-29,Economy,Mobile
S000020,U0155,Mumbai,Dubai,2026-01-30,2026-03-28,Economy,Desktop
S000021,U0275,Mumbai,Paris,2026-04-04,2026-06-09,Economy,Desktop
S000022,U0023,Bengaluru,London,2026-07-29,2026-08-07,Business,Mobile
S000023,U0115,Delhi,Bangkok,2026-08-04,2026-11-22,Business,Desktop
S000024,U0306,Hyderabad,Dubai,2026-02-01,2026-02-12,Economy,Desktop
S000025,U0435,Mumbai,Singapore,2026-07-20,2026-08-23,Economy,Desktop
S000026,U0299,Delhi,London,2026-02-16,2026-06-10,Economy,Mobile
S000027,U0099,Delhi,London,2026-03-29,2026-08-21,First,Mobile
S000028,U0104,Mumbai,Dubai,2026-03-04,2026-06-19,Economy,Desktop
S000029,U0372,Bengaluru,Dubai,2026-06-03,2026-08-24,Economy,Desktop
S000030,U0051,Mumbai,Singapore,2026-05-11,2026-06-01,Business,Desktop
S000031,U0362,Mumbai,Dubai,2026-01-23,2026-04-22,Business,Mobile
S000032,U0112,Delhi,Singapore,2026-07-22,2026-09-14,Business,Desktop
S000033,U0453,Delhi,New York,2026-03-15,2026-07-26,Economy,Desktop
S000034,U0244,Bengaluru,London,2026-02-19,2026-04-12,Business,Mobile
S000035,U0169,Delhi,Dubai,2026-06-13,2026-07-17,Business,Mobile
S000036,U0072,Hyderabad,Dubai,2026-05-04,2026-05-17,Economy,Desktop
S000037,U0139,Delhi,New York,2026-01-13,2026-04-23,Business,Desktop
S000038,U0336,Delhi,Dubai,2026-05-06,2026-08-02,Economy,Mobile
S000039,U0231,Delhi,Tokyo,2026-01-29,2026-05-03,Economy,Desktop
S000040,U0239,Delhi,London,2026-06-15,2026-11-02,First,Desktop
S000041,U0472,Delhi,Tokyo,2026-07-24,2026-10-06,Economy,Desktop
S000042,U0253,Hyderabad,Dubai,2026-05-01,2026-07-01,First,Desktop
S000043,U0469,Bengaluru,London,2026-03-31,2026-08-02,Economy,Desktop
S000044,U0436,Mumbai,Paris,2026-07-31,2026-12-18,Economy,Mobile
S000045,U0407,Mumbai,London,2026-05-13,2026-09-04,Business,Mobile
S000046,U0049,Bengaluru,Dubai,2026-05-28,2026-07-24,Business,Desktop
S000047,U0422,Mumbai,Singapore,2026-03-19,2026-05-02,Economy,Mobile
S000048,U0303,Delhi,Paris,2026-04-19,2026-09-11,Business,Desktop
S000049,U0072,Bengaluru,Dubai,2026-01-14,2026-04-23,Economy,Desktop
S000050,U0263,Hyderabad,Dubai,2026-05-16,2026-06-11,First,Mobile
S000051,U0322,Delhi,Bangkok,2026-02-17,2026-03-05,Economy,Desktop
S000052,U0222,Mumbai,Dubai,2026-05-21,2026-06-22,Business,Mobile
S000053,U0077,Hyderabad,Dubai,2026-01-24,2026-03-19,Economy,Mobile
S000054,U0062,Mumbai,New York,2026-03-20,2026-06-25,Business,Mobile
S000055,U0471,Bengaluru,Dubai,2026-07-12,2026-11-09,Business,Desktop
S000056,U0157,Bengaluru,London,2026-08-02,2026-08-22,Economy,Mobile
S000057,U0294,Mumbai,Dubai,2026-06-11,2026-09-25,Business,Desktop
S000058,U0125,Mumbai,London,2026-02-20,2026-03-10,Economy,Mobile
S000059,U0229,Delhi,New York,2026-08-20,2026-12-20,Economy,Mobile
S000060,U0340,Mumbai,Paris,2026-01-03,2026-05-12,Business,Mobile
S000061,U0161,Mumbai,London,2026-05-08,2026-06-06,Economy,Desktop
S000062,U0029,Delhi,New York,2026-04-29,2026-07-29,Economy,Mobile
S000063,U0114,Mumbai,London,2026-08-06,2026-10-23,Economy,Mobile
S000064,U0079,Mumbai,Paris,2026-07-25,2027-01-14,Business,Desktop
