user_id,signup_date,city,user_type,age_group
U0001,2026-05-17,Delhi,Frequent Traveler,35-44
U0002,2025-05-25,Jaipur,Casual Traveler,35-44
U0003,2025-07-20,Mumbai,Points Enthusiast,25-34
U0004,2026-04-06,Delhi,Frequent Traveler,18-24
U0005,2026-07-12,Pune,Premium Cardholder,18-24
U0006,2026-07-01,Delhi,Premium Cardholder,35-44
U0007,2025-09-10,Jaipur,Premium Cardholder,45+
U0008,2026-01-25,Mumbai,Casual Traveler,35-44
U0009,2026-08-17,Hyderabad,Points Enthusiast,25-34
U0010,2025-09-13,Kolkata,Points Enthusiast,35-44
U0011,2026-03-26,Pune,Premium Cardholder,25-34
U0012,2025-01-10,Mumbai,Casual Traveler,25-34
U0013,2025-08-30,Jaipur,Casual Traveler,18-24
U0014,2025-09-08,Pune,Premium Cardholder,35-44
U0015,2025-01-05,Bengaluru,Premium Cardholder,25-34
U0016,2025-04-29,Delhi,Premium Cardholder,35-44
U0017,2026-01-09,Kolkata,Premium Cardholder,25-34
U0018,2025-03-06,Jaipur,Frequent Traveler,18-24
U0019,2025-05-26,Bengaluru,Frequent Traveler,18-24
U0020,2025-08-12,Chennai,Premium Cardholder,25-34
U0021,2025-08-27,Mumbai,Points Enthusiast,45+
U0022,2025-06-26,Hyderabad,Premium Cardholder,18-24
U0023,2025-10-09,Pune,Premium Cardholder,35-44
U0024,2025-03-04,Delhi,Frequent Traveler,25-34
U0025,2025-08-05,Pune,Frequent Traveler,35-44
U0026,2026-04-06,Kolkata,Points Enthusiast,25-34
U0027,2025-04-15,Mumbai,Premium Cardholder,35-44
U0028,2025-04-09,Pune,Frequent Traveler,35-44
U0029,2026-05-26,Delhi,Frequent Traveler,25-34
U0030,2026-01-20,Mumbai,Premium Cardholder,18-24
U0031,2026-02-09,Pune,Points Enthusiast,35-44
U0032,2026-06-02,Hyderabad,Premium Cardholder,45+
U0033,2026-04-21,Jaipur,Premium Cardholder,18-24
U0034,2026-03-13,Mumbai,Casual Traveler,35-44
U0035,2025-01-23,Jaipur,Casual Traveler,45+
U0036,2026-07-19,Chennai,Casual Traveler,35-44
U0037,2026-04-03,Mumbai,Premium Cardholder,45+
U0038,2025-03-24,Hyderabad,Premium Cardholder,35-44
U0039,2025-05-25,Jaipur,Points Enthusiast,25-34
U0040,2025-03-26,Bengaluru,Frequent Traveler,25-34
U0041,2025-03-19,Delhi,Premium Cardholder,25-34
U0042,2026-04-02,Bengaluru,Frequent Traveler,35-44
U0043,2025-01-01,Pune,Premium Cardholder,35-44
U0044,2025-02-20,Hyderabad,Casual Traveler,25-34
U0045,2026-03-22,Bengaluru,Premium Cardholder,35-44
